 Weapon_type, casualities
 Firearms,0
 Private Citizens & Property, Firearms
 Melee,7
 Melee,7
 Firearms,108
 Explosives, 
 Explosives,1
 Explosives,1
 Explosives,0
 Firearms,2
 Firearms,3
 Explosives,0
 Explosives, 
 Explosives,6
 Firearms,2
 Explosives,0
 Unknown, 
 Unknown,13
 Unknown, 
 Explosives,1
 Firearms,68
 Firearms,1
 Explosives,24
 Explosives, 
 Unknown,0
 Firearms,1
 Firearms,1
 Explosives,0
 Explosives,0
 Melee,6
 Explosives,6
 Explosives,17
 Explosives,15
 Explosives,3
 Explosives,5
 Explosives,5
 Explosives,0
 Explosives,10
 Explosives,2
 Explosives,97
 Explosives,4
 Explosives,9
 Explosives,5
 Explosives,5
 Explosives,11
 Unknown,16
 Firearms,9
 Explosives,10
 Explosives,6
 Explosives,5
 Firearms, 
 Explosives,2
 Unknown,1
 Firearms,6
 Explosives,1
 Explosives,8
 Melee,1
 Firearms,0
 Firearms,1
 Explosives,0
 Unknown,4
 Firearms,0
 Unknown,8
 Firearms,10
 Firearms,1
 Explosives,1
 Firearms,2
 Firearms,0
 Unknown,4
 Firearms,1
 Firearms,2
 Firearms,1
 Explosives,4
 Chemical,1
 Firearms,1
 Explosives,3
 Firearms, 
 Explosives,3
 Explosives,75
 Explosives,93
 Unknown,11
 Firearms,1
 Melee,1
 Explosives,0
 Explosives,0
 Explosives,0
 Explosives,0
 Melee,1
 Unknown, 
 Unknown,13
 Explosives,3
 Explosives,1
 Explosives,0
 Explosives,20
 Explosives,0
 Explosives,0
 Explosives,0
 Firearms,2
 Explosives,8
 Explosives,1
 Explosives,4
 Firearms,1
 Explosives,3
 Explosives,4
 Explosives, 
 Explosives,0
 Explosives,17
 Firearms,3
 Firearms,1
 Firearms,2
 Explosives,0
 Firearms,1
 Explosives,3
 Explosives,3
 Explosives,6
 Explosives,4
 Firearms,0
 Explosives,1
 Private Citizens & Property, Firearms
 Explosives,0
 Incendiary,0
 Explosives,0
 Unknown, 
 Unknown, 
 Unknown, 
 Private Citizens & Property, Melee
 Melee,3
 Explosives,6
 Firearms,1
 Explosives,13
 Explosives,1
 Explosives,12
 Explosives,1
 Firearms,1
 Explosives,10
 Explosives,10
 Explosives,5
 Explosives,30
 Explosives,47
 Explosives,0
 Firearms,1
 Firearms,0
 Explosives,15
 Firearms,0
 Explosives,0
 Unknown,1
 Unknown,1
 Explosives,1
 Firearms,1
 Explosives,0
 Firearms,0
 Firearms,1
 Explosives,0
 Explosives,0
 Lashkar-e-Jhangvi, Private Citizens & Property
 Firearms,0
 Firearms,11
 Unknown, 
 Firearms,4
 Firearms,2
 Explosives,1
 Firearms,11
